end of batch....0, cost so far 15356
end of batch....329, cost so far 6642
end of batch....330, cost so far 6642
end of batch....331, cost so far 6642
end of batch....332, cost so far 6642
end of batch....333, cost so far 6642
end of batch....334, cost so far 6642
end of batch....335, cost so far 6642
end of batch....336, cost so far 6642
end of batch....337, cost so far 6642
end of batch....338, cost so far 6642
end of batch....339, cost so far 6642
end of batch....340, cost so far 6642
end of batch....341, cost so far 6642
end of batch....342, cost so far 6642
end of batch....343, cost so far 6642
end of batch....344, cost so far 6642
end of batch....345, cost so far 6642
end of batch....346, cost so far 6642
end of batch....347, cost so far 6642
end of batch....348, cost so far 6642
end of batch....349, cost so far 6642
end of batch....350, cost so far 6642
end of batch....351, cost so far 6642
end of batch....352, cost so far 6642
end of batch....353, cost so far 6642
end of batch....354, cost so far 6642
end of batch....355, cost so far 6642
end of batch....356, cost so far 6642
end of batch....357, cost so far 6642
end of batch....358, cost so far 6642
end of batch....359, cost so far 6642
end of batch....360, cost so far 6642
end of batch....361, cost so far 6642
end of batch....362, cost so far 6642
end of batch....363, cost so far 6642
end of batch....364, cost so far 6642
end of batch....365, cost so far 6642
end of batch....366, cost so far 6642
end of batch....367, cost so far 6642
end of batch....368, cost so far 6642
end of batch....369, cost so far 6642
end of batch....370, cost so far 6642
end of batch....371, cost so far 6642
end of batch....372, cost so far 6642
end of batch....373, cost so far 6642
end of batch....374, cost so far 6642
end of batch....375, cost so far 6642
end of batch....376, cost so far 6642
end of batch....377, cost so far 6642
end of batch....378, cost so far 6642
end of batch....379, cost so far 6642
end of batch....380, cost so far 6642
end of batch....381, cost so far 6642
end of batch....382, cost so far 6642
end of batch....383, cost so far 6642
end of batch....384, cost so far 6642
end of batch....385, cost so far 6642
end of batch....386, cost so far 6642
end of batch....387, cost so far 6642
end of batch....388, cost so far 6642
end of batch....389, cost so far 6642
end of batch....390, cost so far 6642
end of batch....391, cost so far 6642
end of batch....392, cost so far 6642
end of batch....393, cost so far 6642
end of batch....394, cost so far 6642
end of batch....395, cost so far 6642
end of batch....396, cost so far 6642
end of batch....397, cost so far 6642
end of batch....398, cost so far 6642
end of batch....399, cost so far 6642
end of batch....400, cost so far 6642
end of batch....401, cost so far 6642
end of batch....402, cost so far 6642
end of batch....403, cost so far 6642
end of batch....404, cost so far 6642
end of batch....405, cost so far 6642
end of batch....406, cost so far 6642
end of batch....407, cost so far 6642
end of batch....408, cost so far 6642
end of batch....409, cost so far 6642
end of batch....410, cost so far 6642
end of batch....411, cost so far 6642
end of batch....412, cost so far 6642
end of batch....413, cost so far 6642
end of batch....414, cost so far 6642
end of batch....415, cost so far 6642
end of batch....416, cost so far 6642
end of batch....417, cost so far 6642
end of batch....418, cost so far 6642
end of batch....419, cost so far 6642
end of batch....420, cost so far 6642
end of batch....421, cost so far 6642
end of batch....422, cost so far 6642
end of batch....423, cost so far 6642
end of batch....424, cost so far 6642
end of batch....425, cost so far 6642
end of batch....426, cost so far 6642
end of batch....427, cost so far 6642
end of batch....428, cost so far 6642
end of batch....429, cost so far 6642
end of batch....430, cost so far 6642
end of batch....431, cost so far 6642
end of batch....432, cost so far 6642
end of batch....433, cost so far 6642
end of batch....434, cost so far 6642
end of batch....435, cost so far 6642
end of batch....436, cost so far 6642
end of batch....437, cost so far 6642
end of batch....438, cost so far 6642
end of batch....439, cost so far 6642
end of batch....440, cost so far 6642
end of batch....441, cost so far 6642
end of batch....442, cost so far 6642
end of batch....443, cost so far 6642
end of batch....444, cost so far 6642
end of batch....445, cost so far 6642
end of batch....446, cost so far 6642
end of batch....447, cost so far 6642
end of batch....448, cost so far 6642
end of batch....449, cost so far 6642
end of batch....450, cost so far 6642
end of batch....451, cost so far 6642
end of batch....452, cost so far 6642
end of batch....453, cost so far 6642
end of batch....454, cost so far 6642
end of batch....455, cost so far 6642
end of batch....456, cost so far 6642
end of batch....457, cost so far 6642
end of batch....458, cost so far 6642
end of batch....459, cost so far 6642
end of batch....460, cost so far 6642
end of batch....461, cost so far 6642
end of batch....462, cost so far 6642
end of batch....463, cost so far 6642
end of batch....464, cost so far 6642
end of batch....465, cost so far 6642
end of batch....466, cost so far 6642
end of batch....467, cost so far 6642
end of batch....468, cost so far 6642
end of batch....469, cost so far 6642
end of batch....470, cost so far 6642
end of batch....471, cost so far 6642
end of batch....472, cost so far 6642
end of batch....473, cost so far 6642
end of batch....474, cost so far 6642
end of batch....475, cost so far 6642
end of batch....476, cost so far 6642
end of batch....477, cost so far 6642
end of batch....478, cost so far 6642
end of batch....479, cost so far 6642
end of batch....480, cost so far 6642
end of batch....481, cost so far 6642
end of batch....482, cost so far 6642
end of batch....483, cost so far 6642
end of batch....484, cost so far 6642
end of batch....485, cost so far 6642
end of batch....486, cost so far 6642
end of batch....487, cost so far 6642
end of batch....488, cost so far 6642
end of batch....489, cost so far 6642
end of batch....490, cost so far 6642
end of batch....491, cost so far 6642
end of batch....492, cost so far 6642
end of batch....493, cost so far 6642
end of batch....494, cost so far 6642
end of batch....495, cost so far 6642
end of batch....496, cost so far 6642
end of batch....497, cost so far 6642
end of batch....498, cost so far 6642
end of batch....499, cost so far 6642
end of batch....500, cost so far 6642
end of batch....501, cost so far 6642
end of batch....502, cost so far 6642
end of batch....503, cost so far 6642
end of batch....504, cost so far 6642
end of batch....505, cost so far 6642
end of batch....506, cost so far 6642
end of batch....507, cost so far 6642
end of batch....508, cost so far 6642
end of batch....509, cost so far 6642
end of batch....510, cost so far 6642
end of batch....511, cost so far 6642
end of batch....512, cost so far 6642
end of batch....513, cost so far 6642
end of batch....514, cost so far 6642
end of batch....515, cost so far 6642
end of batch....516, cost so far 6642
end of batch....517, cost so far 6642
end of batch....518, cost so far 6642
end of batch....519, cost so far 6642
end of batch....520, cost so far 6642
end of batch....521, cost so far 6642
end of batch....522, cost so far 6642
end of batch....523, cost so far 6642
end of batch....524, cost so far 6642
end of batch....525, cost so far 6642
end of batch....526, cost so far 6642
end of batch....527, cost so far 6642
end of batch....528, cost so far 6642
end of batch....529, cost so far 6642
end of batch....530, cost so far 6642
end of batch....531, cost so far 6642
end of batch....532, cost so far 6642
end of batch....533, cost so far 6642
end of batch....534, cost so far 6642
end of batch....535, cost so far 6642
end of batch....536, cost so far 6642
end of batch....537, cost so far 6642
end of batch....538, cost so far 6642
end of batch....539, cost so far 6642
end of batch....540, cost so far 6642
end of batch....541, cost so far 6642
end of batch....542, cost so far 6642
end of batch....543, cost so far 6642
end of batch....544, cost so far 6642
end of batch....545, cost so far 6642
end of batch....546, cost so far 6642
end of batch....547, cost so far 6642
end of batch....548, cost so far 6642
end of batch....549, cost so far 6642
end of batch....550, cost so far 6642
end of batch....551, cost so far 6642
end of batch....552, cost so far 6642
end of batch....553, cost so far 6642
end of batch....554, cost so far 6642
end of batch....555, cost so far 6642
end of batch....556, cost so far 6642
end of batch....557, cost so far 6642
end of batch....558, cost so far 6642
end of batch....559, cost so far 6642
end of batch....560, cost so far 6642
end of batch....561, cost so far 6642
end of batch....562, cost so far 6642
end of batch....563, cost so far 6642
end of batch....564, cost so far 6642
end of batch....565, cost so far 6642
end of batch....566, cost so far 6642
end of batch....567, cost so far 6642
end of batch....568, cost so far 6642
end of batch....569, cost so far 6642
end of batch....570, cost so far 6642
end of batch....571, cost so far 6642
end of batch....572, cost so far 6642
end of batch....573, cost so far 6642
end of batch....574, cost so far 6642
end of batch....575, cost so far 6642
end of batch....576, cost so far 6642
end of batch....577, cost so far 6642
end of batch....578, cost so far 6642
end of batch....579, cost so far 6642
end of batch....580, cost so far 6642
end of batch....581, cost so far 6642
end of batch....582, cost so far 6642
end of batch....583, cost so far 6642
end of batch....584, cost so far 6642
end of batch....585, cost so far 6642
end of batch....586, cost so far 6642
end of batch....587, cost so far 6642
end of batch....588, cost so far 6642
end of batch....589, cost so far 6642
end of batch....590, cost so far 6642
end of batch....591, cost so far 6642
end of batch....592, cost so far 6642
end of batch....593, cost so far 6642
end of batch....594, cost so far 6642
end of batch....595, cost so far 6642
end of batch....596, cost so far 6642
end of batch....597, cost so far 6642
end of batch....598, cost so far 6642
end of batch....599, cost so far 6642
end of batch....600, cost so far 6642
end of batch....601, cost so far 6642
end of batch....602, cost so far 6642
end of batch....603, cost so far 6642
end of batch....604, cost so far 6642
end of batch....605, cost so far 6642
end of batch....606, cost so far 6642
end of batch....607, cost so far 6642
end of batch....608, cost so far 6642
end of batch....609, cost so far 6642
end of batch....610, cost so far 6642
end of batch....611, cost so far 6642
end of batch....612, cost so far 6642
end of batch....613, cost so far 6642
end of batch....614, cost so far 6642
end of batch....615, cost so far 6642
end of batch....616, cost so far 6642
end of batch....617, cost so far 6642
end of batch....618, cost so far 6642
end of batch....619, cost so far 6642
end of batch....620, cost so far 6642
end of batch....621, cost so far 6642
end of batch....622, cost so far 6642
end of batch....623, cost so far 6642
end of batch....624, cost so far 6642
end of batch....625, cost so far 6642
end of batch....626, cost so far 6642
end of batch....627, cost so far 6642
end of batch....628, cost so far 6642
end of batch....629, cost so far 6642
end of batch....630, cost so far 6642
end of batch....631, cost so far 6642
end of batch....632, cost so far 6642
end of batch....633, cost so far 6642
end of batch....634, cost so far 6642
end of batch....635, cost so far 6642
end of batch....636, cost so far 6642
end of batch....637, cost so far 6642
end of batch....638, cost so far 6642
end of batch....639, cost so far 6642
end of batch....640, cost so far 6642
end of batch....641, cost so far 6642
end of batch....642, cost so far 6642
end of batch....643, cost so far 6642
end of batch....644, cost so far 6642
end of batch....645, cost so far 6642
end of batch....646, cost so far 6642
end of batch....647, cost so far 6642
end of batch....648, cost so far 6642
end of batch....649, cost so far 6642
end of batch....650, cost so far 6642
end of batch....651, cost so far 6642
end of batch....652, cost so far 6642
end of batch....653, cost so far 6642
end of batch....654, cost so far 6642
end of batch....655, cost so far 6642
end of batch....656, cost so far 6642
end of batch....657, cost so far 6642
end of batch....658, cost so far 6642
end of batch....659, cost so far 6642
end of batch....660, cost so far 6642
end of batch....661, cost so far 6642
end of batch....662, cost so far 6642
end of batch....663, cost so far 6642
end of batch....664, cost so far 6642
end of batch....665, cost so far 6642
end of batch....666, cost so far 6642
end of batch....667, cost so far 6642
end of batch....668, cost so far 6642
end of batch....669, cost so far 6642
end of batch....670, cost so far 6642
end of batch....671, cost so far 6642
end of batch....672, cost so far 6642
end of batch....673, cost so far 6642
end of batch....674, cost so far 6642
end of batch....675, cost so far 6642
end of batch....676, cost so far 6642
end of batch....677, cost so far 6642
end of batch....678, cost so far 6642
end of batch....679, cost so far 6642
end of batch....680, cost so far 6642
end of batch....681, cost so far 6642
end of batch....682, cost so far 6642
end of batch....683, cost so far 6642
end of batch....684, cost so far 6642
end of batch....685, cost so far 6642
end of batch....686, cost so far 6642
end of batch....687, cost so far 6642
end of batch....688, cost so far 6642
end of batch....689, cost so far 6642
end of batch....690, cost so far 6642
end of batch....691, cost so far 6642
end of batch....692, cost so far 6642
end of batch....693, cost so far 6642
end of batch....694, cost so far 6642
end of batch....695, cost so far 6642
end of batch....696, cost so far 6642
end of batch....697, cost so far 6642
end of batch....698, cost so far 6642
end of batch....699, cost so far 6642
end of batch....700, cost so far 6642
end of batch....701, cost so far 6642
end of batch....702, cost so far 6642
end of batch....703, cost so far 6642
end of batch....704, cost so far 6642
end of batch....705, cost so far 6642
end of batch....706, cost so far 6642
end of batch....707, cost so far 6642
end of batch....708, cost so far 6642
end of batch....709, cost so far 6642
end of batch....710, cost so far 6642
end of batch....711, cost so far 6642
end of batch....712, cost so far 6642
end of batch....713, cost so far 6642
end of batch....714, cost so far 6642
end of batch....715, cost so far 6642
end of batch....716, cost so far 6642
end of batch....717, cost so far 6642
end of batch....718, cost so far 6642
end of batch....719, cost so far 6642
end of batch....720, cost so far 6642
end of batch....721, cost so far 6642
end of batch....722, cost so far 6642
end of batch....723, cost so far 6642
end of batch....724, cost so far 6642
end of batch....725, cost so far 6642
end of batch....726, cost so far 6642
end of batch....727, cost so far 6642
end of batch....728, cost so far 6642
end of batch....729, cost so far 6642
end of batch....730, cost so far 6642
end of batch....731, cost so far 6642
end of batch....732, cost so far 6642
end of batch....733, cost so far 6642
end of batch....734, cost so far 6642
end of batch....735, cost so far 6642
end of batch....736, cost so far 6642
end of batch....737, cost so far 6642
end of batch....738, cost so far 6642
end of batch....739, cost so far 6642
end of batch....740, cost so far 6642
end of batch....741, cost so far 6642
end of batch....742, cost so far 6642
end of batch....743, cost so far 6642
end of batch....744, cost so far 6642
end of batch....745, cost so far 6642
end of batch....746, cost so far 6642
end of batch....747, cost so far 6642
end of batch....748, cost so far 6642
end of batch....749, cost so far 6642
end of batch....750, cost so far 6642
end of batch....751, cost so far 6642
end of batch....752, cost so far 6642
end of batch....753, cost so far 6642
end of batch....754, cost so far 6642
end of batch....755, cost so far 6642
end of batch....756, cost so far 6642
end of batch....757, cost so far 6642
end of batch....758, cost so far 6642
end of batch....759, cost so far 6642
end of batch....760, cost so far 6642
end of batch....761, cost so far 6642
end of batch....762, cost so far 6642
end of batch....763, cost so far 6642
end of batch....764, cost so far 6642
end of batch....765, cost so far 6642
end of batch....766, cost so far 6642
end of batch....767, cost so far 6642
end of batch....768, cost so far 6642
end of batch....769, cost so far 6642
end of batch....770, cost so far 6642
end of batch....771, cost so far 6642
end of batch....772, cost so far 6642
end of batch....773, cost so far 6642
end of batch....774, cost so far 6642
end of batch....775, cost so far 6642
end of batch....776, cost so far 6642
end of batch....777, cost so far 6642
end of batch....778, cost so far 6642
end of batch....779, cost so far 6642
end of batch....780, cost so far 6642
end of batch....781, cost so far 6642
end of batch....782, cost so far 6642
end of batch....783, cost so far 6642
end of batch....784, cost so far 6642
end of batch....785, cost so far 6642
end of batch....786, cost so far 6642
end of batch....787, cost so far 6642
end of batch....788, cost so far 6642
end of batch....789, cost so far 6642
end of batch....790, cost so far 6642
end of batch....791, cost so far 6642
end of batch....792, cost so far 6642
end of batch....793, cost so far 6642
end of batch....794, cost so far 6642
end of batch....795, cost so far 6642
end of batch....796, cost so far 6642
end of batch....797, cost so far 6642
end of batch....798, cost so far 6642
end of batch....799, cost so far 6642
end of batch....800, cost so far 6642
end of batch....801, cost so far 6642
end of batch....802, cost so far 6642
end of batch....803, cost so far 6642
end of batch....804, cost so far 6642
end of batch....805, cost so far 6642
end of batch....806, cost so far 6642
end of batch....807, cost so far 6642
end of batch....808, cost so far 6642
end of batch....809, cost so far 6642
end of batch....810, cost so far 6642
end of batch....811, cost so far 6642
end of batch....812, cost so far 6642
end of batch....813, cost so far 6642
end of batch....814, cost so far 6642
end of batch....815, cost so far 6642
end of batch....816, cost so far 6642
end of batch....817, cost so far 6642
end of batch....818, cost so far 6642
end of batch....819, cost so far 6642
end of batch....820, cost so far 6642
end of batch....821, cost so far 6642
end of batch....822, cost so far 6642
end of batch....823, cost so far 6642
end of batch....824, cost so far 6642
end of batch....825, cost so far 6642
end of batch....826, cost so far 6642
end of batch....827, cost so far 6642
end of batch....828, cost so far 6642
end of batch....829, cost so far 6642
end of batch....830, cost so far 6642
end of batch....831, cost so far 6642
end of batch....832, cost so far 6642
end of batch....833, cost so far 6642
end of batch....834, cost so far 6642
end of batch....835, cost so far 6642
end of batch....836, cost so far 6642
end of batch....837, cost so far 6642
end of batch....838, cost so far 6642
end of batch....839, cost so far 6642
end of batch....840, cost so far 6642
end of batch....841, cost so far 6642
end of batch....842, cost so far 6642
end of batch....843, cost so far 6642
end of batch....844, cost so far 6642
end of batch....845, cost so far 6642
end of batch....846, cost so far 6642
end of batch....847, cost so far 6642
end of batch....848, cost so far 6642
end of batch....849, cost so far 6642
end of batch....850, cost so far 6642
end of batch....851, cost so far 6642
end of batch....852, cost so far 6642
end of batch....853, cost so far 6642
end of batch....854, cost so far 6642
end of batch....855, cost so far 6642
end of batch....856, cost so far 6642
end of batch....857, cost so far 6642
end of batch....858, cost so far 6642
end of batch....859, cost so far 6642
end of batch....860, cost so far 6642
end of batch....861, cost so far 6642
end of batch....862, cost so far 6642
end of batch....863, cost so far 6642
end of batch....864, cost so far 6642
end of batch....865, cost so far 6642
end of batch....866, cost so far 6642
end of batch....867, cost so far 6642
end of batch....868, cost so far 6642
end of batch....869, cost so far 6642
end of batch....870, cost so far 6642
end of batch....871, cost so far 6642
end of batch....872, cost so far 6642
end of batch....873, cost so far 6642
end of batch....874, cost so far 6642
end of batch....875, cost so far 6642
end of batch....876, cost so far 6642
end of batch....877, cost so far 6642
end of batch....878, cost so far 6642
end of batch....879, cost so far 6642
end of batch....880, cost so far 6642
end of batch....881, cost so far 6642
end of batch....882, cost so far 6642
end of batch....883, cost so far 6642
end of batch....884, cost so far 6642
end of batch....885, cost so far 6642
end of batch....886, cost so far 6642
end of batch....887, cost so far 6642
end of batch....888, cost so far 6642
end of batch....889, cost so far 6642
end of batch....890, cost so far 6642
end of batch....891, cost so far 6642
end of batch....892, cost so far 6642
end of batch....893, cost so far 6642
end of batch....894, cost so far 6642
end of batch....895, cost so far 6642
end of batch....896, cost so far 6642
end of batch....897, cost so far 6642
end of batch....898, cost so far 6642
end of batch....899, cost so far 6642
end of batch....900, cost so far 6642
end of batch....901, cost so far 6642
end of batch....902, cost so far 6642
end of batch....903, cost so far 6642
end of batch....904, cost so far 6642
end of batch....905, cost so far 6642
end of batch....906, cost so far 6642
end of batch....907, cost so far 6642
end of batch....908, cost so far 6642
end of batch....909, cost so far 6642
end of batch....910, cost so far 6642
end of batch....911, cost so far 6642
end of batch....912, cost so far 6642
end of batch....913, cost so far 6642
end of batch....914, cost so far 6642
end of batch....915, cost so far 6642
end of batch....916, cost so far 6642
end of batch....917, cost so far 6642
end of batch....918, cost so far 6642
end of batch....919, cost so far 6642
end of batch....920, cost so far 6642
end of batch....921, cost so far 6642
end of batch....922, cost so far 6642
end of batch....923, cost so far 6642
end of batch....924, cost so far 6642
end of batch....925, cost so far 6642
end of batch....926, cost so far 6642
end of batch....927, cost so far 6642
end of batch....928, cost so far 6642
end of batch....929, cost so far 6642
end of batch....930, cost so far 6642
end of batch....931, cost so far 6642
